## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[campy_SRR25630385_rg.bam] OUTPUT=campy_SRR25630385_marked_duplicates.bam METRICS_FILE=campy_SRR25630385_marked_dupes_metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 08 08:25:31 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
campylomormyrus.fasta	59945	24105616	3493612	17344065	46356	12657141	0	0.525378	13904559

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
224.0	0	27	27
225.0	0	17	17
226.0	0	23	23
227.0	0	21	21
228.0	0	13	13
229.0	0	15	15
230.0	0	23	23
231.0	0	13	13
232.0	0	9	9
233.0	0	10	10
234.0	0	26	26
235.0	0	15	15
236.0	0	15	15
237.0	0	15	15
238.0	0	15	15
239.0	0	13	13
240.0	0	13	13
241.0	0	13	13
242.0	0	15	15
243.0	0	16	16
244.0	0	16	16
245.0	0	19	19
246.0	0	18	18
247.0	0	12	12
248.0	0	12	12
249.0	0	15	15
250.0	0	17	17
251.0	0	5	5
252.0	0	18	18
253.0	0	13	13
254.0	0	11	11
255.0	0	15	15
256.0	0	9	9
257.0	0	9	9
258.0	0	11	11
259.0	0	10	10
260.0	0	6	6
261.0	0	18	18
262.0	0	11	11
263.0	0	16	16
264.0	0	13	13
265.0	0	10	10
266.0	0	10	10
267.0	0	15	15
268.0	0	7	7
269.0	0	15	15
270.0	0	10	10
271.0	0	6	6
272.0	0	11	11
273.0	0	9	9
274.0	0	12	12
275.0	0	9	9
276.0	0	10	10
277.0	0	7	7
278.0	0	15	15
279.0	0	12	12
280.0	0	13	13
281.0	0	12	12
282.0	0	8	8
283.0	0	7	7
284.0	0	4	4
285.0	0	11	11
286.0	0	9	9
287.0	0	10	10
288.0	0	11	11
289.0	0	6	6
290.0	0	6	6
291.0	0	10	10
292.0	0	14	14
293.0	0	10	10
294.0	0	9	9
295.0	0	14	14
296.0	0	8	8
297.0	0	8	8
298.0	0	6	6
299.0	0	6	6
300.0	0	8	8
301.0	0	5	5
302.0	0	9	9
303.0	0	6	6
304.0	0	16	16
305.0	0	3	3
306.0	0	9	9
307.0	0	4	4
308.0	0	8	8
309.0	0	7	7
310.0	0	7	7
311.0	0	11	11
312.0	0	11	11
313.0	0	8	8
314.0	0	10	10
315.0	0	7	7
316.0	0	7	7
317.0	0	6	6
318.0	0	5	5
319.0	0	7	7
320.0	0	9	9
321.0	0	5	5
322.0	0	5	5
323.0	0	10	10
324.0	0	10	10
325.0	0	8	8
326.0	0	5	5
327.0	0	8	8
328.0	0	8	8
329.0	0	7	7
330.0	0	8	8
331.0	0	7	7
332.0	0	1	1
333.0	0	4	4
334.0	0	5	5
335.0	0	4	4
336.0	0	7	7
337.0	0	3	3
338.0	0	9	9
339.0	0	7	7
340.0	0	9	9
341.0	0	7	7
342.0	0	6	6
343.0	0	6	6
344.0	0	1	1
345.0	0	9	9
346.0	0	5	5
347.0	0	5	5
348.0	0	4	4
349.0	0	8	8
350.0	0	9	9
351.0	0	4	4
352.0	0	5	5
353.0	0	7	7
354.0	0	10	10
355.0	0	5	5
356.0	0	6	6
357.0	0	3	3
358.0	0	8	8
359.0	0	10	10
360.0	0	3	3
361.0	0	5	5
362.0	0	5	5
363.0	0	3	3
364.0	0	5	5
365.0	0	12	12
366.0	0	7	7
368.0	0	4	4
369.0	0	4	4
370.0	0	4	4
371.0	0	8	8
372.0	0	4	4
373.0	0	6	6
374.0	0	4	4
375.0	0	8	8
376.0	0	4	4
377.0	0	12	12
378.0	0	3	3
379.0	0	1	1
380.0	0	3	3
381.0	0	2	2
382.0	0	4	4
383.0	0	6	6
384.0	0	3	3
385.0	0	9	9
386.0	0	6	6
387.0	0	5	5
388.0	0	4	4
389.0	0	4	4
390.0	0	5	5
391.0	0	3	3
392.0	0	2	2
393.0	0	2	2
394.0	0	1	1
395.0	0	4	4
396.0	0	4	4
397.0	0	5	5
398.0	0	3	3
399.0	0	3	3
400.0	0	5	5
401.0	0	3	3
402.0	0	7	7
403.0	0	3	3
404.0	0	4	4
405.0	0	3	3
406.0	0	5	5
407.0	0	5	5
408.0	0	4	4
409.0	0	1	1
410.0	0	8	8
411.0	0	2	2
412.0	0	3	3
413.0	0	10	10
414.0	0	2	2
415.0	0	4	4
416.0	0	3	3
417.0	0	6	6
418.0	0	2	2
419.0	0	1	1
420.0	0	5	5
421.0	0	1	1
422.0	0	1	1
423.0	0	4	4
424.0	0	3	3
425.0	0	2	2
426.0	0	3	3
427.0	0	1	1
428.0	0	5	5
429.0	0	5	5
430.0	0	3	3
431.0	0	5	5
432.0	0	3	3
433.0	0	4	4
434.0	0	2	2
435.0	0	3	3
436.0	0	7	7
437.0	0	6	6
438.0	0	5	5
439.0	0	2	2
440.0	0	1	1
441.0	0	3	3
442.0	0	7	7
443.0	0	2	2
444.0	0	4	4
445.0	0	1	1
446.0	0	3	3
447.0	0	2	2
448.0	0	1	1
449.0	0	3	3
450.0	0	1	1
451.0	0	5	5
452.0	0	6	6
453.0	0	2	2
454.0	0	3	3
455.0	0	1	1
456.0	0	3	3
457.0	0	6	6
458.0	0	2	2
459.0	0	3	3
460.0	0	4	4
461.0	0	3	3
462.0	0	2	2
463.0	0	4	4
464.0	0	2	2
466.0	0	4	4
467.0	0	5	5
468.0	0	1	1
469.0	0	6	6
470.0	0	8	8
471.0	0	6	6
472.0	0	3	3
473.0	0	2	2
474.0	0	2	2
475.0	0	3	3
476.0	0	3	3
477.0	0	2	2
478.0	0	2	2
479.0	0	6	6
480.0	0	5	5
481.0	0	3	3
482.0	0	3	3
484.0	0	5	5
485.0	0	3	3
486.0	0	1	1
487.0	0	1	1
488.0	0	2	2
489.0	0	3	3
490.0	0	3	3
491.0	0	1	1
492.0	0	2	2
493.0	0	1	1
494.0	0	3	3
495.0	0	2	2
496.0	0	2	2
497.0	0	2	2
498.0	0	4	4
499.0	0	1	1
500.0	0	1	1
501.0	0	1	1
502.0	0	3	3
503.0	0	2	2
504.0	0	3	3
505.0	0	3	3
506.0	0	2	2
507.0	0	1	1
508.0	0	2	2
509.0	0	3	3
510.0	0	1	1
511.0	0	3	3
512.0	0	1	1
513.0	0	2	2
514.0	0	2	2
515.0	0	3	3
516.0	0	2	2
517.0	0	2	2
518.0	0	4	4
519.0	0	1	1
520.0	0	2	2
521.0	0	1	1
522.0	0	4	4
523.0	0	3	3
524.0	0	2	2
525.0	0	3	3
526.0	0	2	2
528.0	0	4	4
529.0	0	3	3
530.0	0	2	2
531.0	0	2	2
532.0	0	1	1
533.0	0	1	1
534.0	0	2	2
535.0	0	1	1
536.0	0	1	1
537.0	0	3	3
538.0	0	2	2
539.0	0	1	1
540.0	0	2	2
541.0	0	4	4
542.0	0	1	1
543.0	0	1	1
545.0	0	3	3
546.0	0	4	4
547.0	0	2	2
548.0	0	6	6
550.0	0	2	2
551.0	0	2	2
553.0	0	2	2
554.0	0	4	4
555.0	0	2	2
557.0	0	1	1
558.0	0	1	1
559.0	0	1	1
560.0	0	2	2
561.0	0	1	1
562.0	0	2	2
563.0	0	2	2
564.0	0	4	4
565.0	0	1	1
566.0	0	1	1
568.0	0	1	1
569.0	0	1	1
571.0	0	4	4
572.0	0	1	1
573.0	0	2	2
574.0	0	3	3
575.0	0	1	1
576.0	0	2	2
577.0	0	1	1
578.0	0	1	1
579.0	0	1	1
580.0	0	1	1
581.0	0	3	3
582.0	0	3	3
583.0	0	1	1
584.0	0	1	1
585.0	0	1	1
586.0	0	3	3
587.0	0	2	2
588.0	0	1	1
589.0	0	1	1
590.0	0	1	1
591.0	0	2	2
592.0	0	1	1
593.0	0	1	1
594.0	0	2	2
595.0	0	2	2
597.0	0	2	2
598.0	0	1	1
599.0	0	2	2
600.0	0	2	2
601.0	0	2	2
602.0	0	2	2
603.0	0	1	1
606.0	0	3	3
608.0	0	2	2
609.0	0	1	1
610.0	0	2	2
611.0	0	2	2
612.0	0	1	1
613.0	0	2	2
614.0	0	1	1
615.0	0	1	1
617.0	0	1	1
618.0	0	1	1
619.0	0	1	1
620.0	0	1	1
621.0	0	2	2
622.0	0	2	2
625.0	0	2	2
627.0	0	2	2
631.0	0	2	2
634.0	0	3	3
637.0	0	1	1
638.0	0	3	3
641.0	0	1	1
642.0	0	1	1
643.0	0	1	1
644.0	0	1	1
645.0	0	1	1
646.0	0	3	3
647.0	0	2	2
648.0	0	1	1
649.0	0	3	3
650.0	0	2	2
653.0	0	1	1
654.0	0	1	1
656.0	0	1	1
659.0	0	1	1
660.0	0	3	3
661.0	0	1	1
662.0	0	1	1
663.0	0	3	3
664.0	0	3	3
666.0	0	1	1
667.0	0	2	2
670.0	0	1	1
671.0	0	2	2
673.0	0	3	3
675.0	0	1	1
676.0	0	2	2
677.0	0	1	1
680.0	0	2	2
681.0	0	1	1
685.0	0	1	1
686.0	0	2	2
687.0	0	2	2
688.0	0	1	1
689.0	0	1	1
690.0	0	1	1
692.0	0	1	1
693.0	0	2	2
694.0	0	3	3
695.0	0	1	1
696.0	0	1	1
698.0	0	1	1
700.0	0	2	2
701.0	0	1	1
703.0	0	2	2
706.0	0	3	3
708.0	0	1	1
709.0	0	3	3
713.0	0	1	1
716.0	0	2	2
717.0	0	1	1
718.0	0	1	1
722.0	0	1	1
724.0	0	1	1
726.0	0	1	1
727.0	0	2	2
728.0	0	1	1
729.0	0	1	1
730.0	0	2	2
732.0	0	1	1
733.0	0	1	1
734.0	0	1	1
738.0	0	1	1
743.0	0	1	1
746.0	0	1	1
747.0	0	1	1
748.0	0	1	1
749.0	0	1	1
750.0	0	1	1
752.0	0	2	2
753.0	0	1	1
756.0	0	1	1
757.0	0	1	1
758.0	0	1	1
759.0	0	1	1
760.0	0	2	2
762.0	0	1	1
765.0	0	1	1
766.0	0	2	2
769.0	0	1	1
771.0	0	1	1
773.0	0	1	1
781.0	0	1	1
785.0	0	2	2
786.0	0	1	1
787.0	0	1	1
792.0	0	2	2
793.0	0	2	2
794.0	0	1	1
804.0	0	1	1
809.0	0	1	1
810.0	0	1	1
811.0	0	1	1
812.0	0	1	1
813.0	0	1	1
814.0	0	1	1
816.0	0	1	1
819.0	0	1	1
820.0	0	3	3
826.0	0	1	1
827.0	0	1	1
828.0	0	2	2
829.0	0	1	1
832.0	0	1	1
834.0	0	2	2
838.0	0	1	1
839.0	0	1	1
846.0	0	1	1
848.0	0	2	2
849.0	0	1	1
850.0	0	1	1
854.0	0	1	1
855.0	0	1	1
856.0	0	1	1
863.0	0	1	1
864.0	0	2	2
866.0	0	1	1
873.0	0	1	1
881.0	0	2	2
882.0	0	1	1
885.0	0	1	1
888.0	0	1	1
890.0	0	2	2
892.0	0	1	1
893.0	0	2	2
895.0	0	1	1
896.0	0	1	1
899.0	0	1	1
900.0	0	1	1
904.0	0	2	2
905.0	0	2	2
906.0	0	2	2
908.0	0	4	4
909.0	0	1	1
915.0	0	1	1
917.0	0	1	1
918.0	0	2	2
923.0	0	1	1
929.0	0	2	2
933.0	0	1	1
934.0	0	1	1
938.0	0	1	1
940.0	0	1	1
952.0	0	1	1
959.0	0	1	1
966.0	0	1	1
970.0	0	1	1
981.0	0	1	1
982.0	0	1	1
984.0	0	1	1
985.0	0	1	1
986.0	0	1	1
988.0	0	1	1
990.0	0	1	1
993.0	0	2	2
995.0	0	1	1
996.0	0	1	1
998.0	0	1	1
1004.0	0	2	2
1008.0	0	1	1
1012.0	0	1	1
1021.0	0	1	1
1025.0	0	1	1
1035.0	0	1	1
1038.0	0	2	2
1040.0	0	1	1
1041.0	0	2	2
1051.0	0	2	2
1052.0	0	1	1
1053.0	0	2	2
1056.0	0	1	1
1057.0	0	1	1
1059.0	0	1	1
1063.0	0	1	1
1067.0	0	1	1
1069.0	0	1	1
1074.0	0	2	2
1083.0	0	1	1
1084.0	0	1	1
1085.0	0	1	1
1095.0	0	2	2
1098.0	0	1	1
1107.0	0	1	1
1108.0	0	1	1
1109.0	0	3	3
1111.0	0	1	1
1114.0	0	2	2
1119.0	0	1	1
1122.0	0	1	1
1126.0	0	1	1
1128.0	0	1	1
1129.0	0	1	1
1132.0	0	1	1
1138.0	0	1	1
1140.0	0	1	1
1141.0	0	1	1
1151.0	0	1	1
1155.0	0	1	1
1158.0	0	1	1
1162.0	0	3	3
1171.0	0	2	2
1178.0	0	1	1
1182.0	0	1	1
1183.0	0	1	1
1185.0	0	1	1
1190.0	0	1	1
1191.0	0	1	1
1199.0	0	1	1
1211.0	0	1	1
1212.0	0	2	2
1226.0	0	1	1
1229.0	0	1	1
1231.0	0	1	1
1242.0	0	1	1
1246.0	0	1	1
1249.0	0	1	1
1256.0	0	1	1
1257.0	0	1	1
1258.0	0	1	1
1265.0	0	2	2
1270.0	0	1	1
1283.0	0	1	1
1286.0	0	2	2
1292.0	0	1	1
1295.0	0	1	1
1296.0	0	1	1
1298.0	0	1	1
1312.0	0	1	1
1315.0	0	1	1
1318.0	0	1	1
1338.0	0	1	1
1341.0	0	1	1
1345.0	0	1	1
1350.0	0	1	1
1356.0	0	1	1
1370.0	0	1	1
1377.0	0	1	1
1384.0	0	1	1
1386.0	0	1	1
1387.0	0	1	1
1394.0	0	1	1
1407.0	0	1	1
1410.0	0	2	2
1413.0	0	1	1
1420.0	0	1	1
1429.0	0	1	1
1430.0	0	1	1
1469.0	0	1	1
1482.0	0	1	1
1487.0	0	1	1
1489.0	0	1	1
1492.0	0	1	1
1517.0	0	2	2
1521.0	0	1	1
1527.0	0	1	1
1546.0	0	1	1
1586.0	0	1	1
1589.0	0	1	1
1607.0	0	1	1
1612.0	0	1	1
1626.0	0	1	1
1627.0	0	1	1
1640.0	0	1	1
1645.0	0	1	1
1666.0	0	1	1
1671.0	0	1	1
1689.0	0	1	1
1734.0	0	1	1
1737.0	0	1	1
1738.0	0	1	1
1753.0	0	1	1
1763.0	0	1	1
1774.0	0	1	1
1778.0	0	1	1
1787.0	0	1	1
1809.0	0	1	1
1812.0	0	1	1
1848.0	0	1	1
1851.0	0	1	1
1858.0	0	1	1
1893.0	0	1	1
1945.0	0	2	2
1958.0	0	1	1
1998.0	0	1	1
2036.0	0	1	1
2058.0	0	1	1
2089.0	0	1	1
2132.0	0	1	1
2229.0	0	1	1
2266.0	0	1	1
2277.0	0	1	1
2334.0	0	1	1
2399.0	0	1	1
2517.0	0	1	1
2528.0	0	1	1
2580.0	0	1	1
2584.0	0	1	1
2603.0	0	1	1
2620.0	0	1	1
2696.0	0	1	1
2893.0	0	1	1
3027.0	0	1	1
3375.0	0	1	1
3548.0	0	1	1
3675.0	0	1	1
9251.0	0	1	1

