## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[campy_SRR25630385_rg.bam] OUTPUT=campy_SRR25630385_marked_duplicates.bam METRICS_FILE=campy_SRR25630385_marked_dupes_metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 08 08:25:31 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
campylomormyrus.fasta	59945	24105616	3493612	17344065	46356	12657141	0	0.525378	13904559

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7250540	7250540
2.0	1.176639	2518049	2518049
3.0	1.20784	850469	850469
4.0	1.213351	318379	318379
5.0	1.214325	142798	142798
6.0	1.214497	77945	77945
7.0	1.214527	49607	49607
8.0	1.214533	34803	34803
9.0	1.214534	26160	26160
10.0	1.214534	20287	20287
11.0	1.214534	16496	16496
12.0	1.214534	13547	13547
13.0	1.214534	11395	11395
14.0	1.214534	9816	9816
15.0	1.214534	8335	8335
16.0	1.214534	7236	7236
17.0	1.214534	6336	6336
18.0	1.214534	5524	5524
19.0	1.214534	5046	5046
20.0	1.214534	4620	4620
21.0	1.214534	4048	4048
22.0	1.214534	3681	3681
23.0	1.214534	3214	3214
24.0	1.214534	3048	3048
25.0	1.214534	2878	2878
26.0	1.214534	2547	2547
27.0	1.214534	2394	2394
28.0	1.214534	2085	2085
29.0	1.214534	1997	1997
30.0	1.214534	1840	1840
31.0	1.214534	1705	1705
32.0	1.214534	1559	1559
33.0	1.214534	1539	1539
34.0	1.214534	1432	1432
35.0	1.214534	1314	1314
36.0	1.214534	1234	1234
37.0	1.214534	1155	1155
38.0	1.214534	1097	1097
39.0	1.214534	1039	1039
40.0	1.214534	961	961
41.0	1.214534	953	953
42.0	1.214534	843	843
43.0	1.214534	804	804
44.0	1.214534	835	835
45.0	1.214534	760	760
46.0	1.214534	722	722
47.0	1.214534	615	615
48.0	1.214534	663	663
49.0	1.214534	655	655
50.0	1.214534	615	615
51.0	1.214534	610	610
52.0	1.214534	571	571
53.0	1.214534	571	571
54.0	1.214534	513	513
55.0	1.214534	528	528
56.0	1.214534	469	469
57.0	1.214534	443	443
58.0	1.214534	413	413
59.0	1.214534	438	438
60.0	1.214534	379	379
61.0	1.214534	400	400
62.0	1.214534	375	375
63.0	1.214534	411	411
64.0	1.214534	349	349
65.0	1.214534	357	357
66.0	1.214534	332	332
67.0	1.214534	329	329
68.0	1.214534	297	297
69.0	1.214534	302	302
70.0	1.214534	291	291
71.0	1.214534	272	272
72.0	1.214534	281	281
73.0	1.214534	258	258
74.0	1.214534	257	257
75.0	1.214534	246	246
76.0	1.214534	248	248
77.0	1.214534	235	235
78.0	1.214534	208	208
79.0	1.214534	200	200
80.0	1.214534	225	225
81.0	1.214534	203	203
82.0	1.214534	211	211
83.0	1.214534	194	194
84.0	1.214534	208	208
85.0	1.214534	179	179
86.0	1.214534	176	176
87.0	1.214534	190	190
88.0	1.214534	211	211
89.0	1.214534	152	152
90.0	1.214534	202	202
91.0	1.214534	197	197
92.0	1.214534	161	161
93.0	1.214534	137	137
94.0	1.214534	146	146
95.0	1.214534	149	149
96.0	1.214534	124	124
97.0	1.214534	141	141
98.0	1.214534	131	131
99.0	1.214534	145	145
100.0	1.214534	112	112
101.0	0	132	132
102.0	0	120	120
103.0	0	111	111
104.0	0	113	113
105.0	0	108	108
106.0	0	122	122
107.0	0	119	119
108.0	0	109	109
109.0	0	112	112
110.0	0	119	119
111.0	0	118	118
112.0	0	79	79
113.0	0	94	94
114.0	0	87	87
115.0	0	83	83
116.0	0	88	88
117.0	0	91	91
118.0	0	92	92
119.0	0	75	75
120.0	0	81	81
121.0	0	72	72
122.0	0	86	86
123.0	0	90	90
124.0	0	63	63
125.0	0	95	95
126.0	0	98	98
127.0	0	83	83
128.0	0	75	75
129.0	0	57	57
130.0	0	67	67
131.0	0	81	81
132.0	0	79	79
133.0	0	72	72
134.0	0	61	61
135.0	0	68	68
136.0	0	84	84
137.0	0	44	44
138.0	0	55	55
139.0	0	44	44
140.0	0	51	51
141.0	0	56	56
142.0	0	58	58
143.0	0	59	59
144.0	0	58	58
145.0	0	71	71
146.0	0	56	56
147.0	0	41	41
148.0	0	56	56
149.0	0	55	55
150.0	0	53	53
151.0	0	51	51
152.0	0	60	60
153.0	0	46	46
154.0	0	34	34
155.0	0	51	51
156.0	0	51	51
157.0	0	52	52
158.0	0	46	46
159.0	0	55	55
160.0	0	42	42
161.0	0	35	35
162.0	0	36	36
163.0	0	41	41
164.0	0	40	40
165.0	0	42	42
166.0	0	33	33
167.0	0	30	30
168.0	0	38	38
169.0	0	33	33
170.0	0	42	42
171.0	0	33	33
172.0	0	29	29
173.0	0	31	31
174.0	0	32	32
175.0	0	26	26
176.0	0	26	26
177.0	0	33	33
178.0	0	28	28
179.0	0	38	38
180.0	0	27	27
181.0	0	26	26
182.0	0	22	22
183.0	0	33	33
184.0	0	23	23
185.0	0	29	29
186.0	0	31	31
187.0	0	32	32
188.0	0	20	20
189.0	0	35	35
190.0	0	41	41
191.0	0	34	34
192.0	0	28	28
193.0	0	26	26
194.0	0	23	23
195.0	0	24	24
196.0	0	15	15
197.0	0	30	30
198.0	0	16	16
199.0	0	30	30
200.0	0	25	25
201.0	0	20	20
202.0	0	22	22
203.0	0	22	22
204.0	0	20	20
205.0	0	22	22
206.0	0	20	20
207.0	0	19	19
208.0	0	26	26
209.0	0	17	17
210.0	0	21	21
211.0	0	25	25
212.0	0	26	26
213.0	0	20	20
214.0	0	21	21
215.0	0	19	19
216.0	0	23	23
217.0	0	20	20
218.0	0	21	21
219.0	0	21	21
220.0	0	15	15
221.0	0	16	16
222.0	0	21	21
223.0	0	14	14
