##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR25630385_2_cutadapt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	33181752
Total Bases	4.7 Gbp
Sequences flagged as poor quality	0
Sequence length	3-150
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.1095267061245	37.0	37.0	37.0	37.0	37.0
2	36.040051742897724	37.0	37.0	37.0	37.0	37.0
3	36.16835271386514	37.0	37.0	37.0	37.0	37.0
4	36.18034319774322	37.0	37.0	37.0	37.0	37.0
5	36.24231303212996	37.0	37.0	37.0	37.0	37.0
6	36.18505339472533	37.0	37.0	37.0	37.0	37.0
7	36.181156648772586	37.0	37.0	37.0	37.0	37.0
8	36.25173438006161	37.0	37.0	37.0	37.0	37.0
9	36.266905774079355	37.0	37.0	37.0	37.0	37.0
10-14	36.27342541633641	37.0	37.0	37.0	37.0	37.0
15-19	36.25890882271011	37.0	37.0	37.0	37.0	37.0
20-24	36.231138274592745	37.0	37.0	37.0	37.0	37.0
25-29	36.189223760321596	37.0	37.0	37.0	37.0	37.0
30-34	36.148808458673756	37.0	37.0	37.0	37.0	37.0
35-39	36.10985662778258	37.0	37.0	37.0	37.0	37.0
40-44	36.085106912914924	37.0	37.0	37.0	37.0	37.0
45-49	36.051050441236335	37.0	37.0	37.0	37.0	37.0
50-54	36.00835560122611	37.0	37.0	37.0	37.0	37.0
55-59	35.96751315589941	37.0	37.0	37.0	37.0	37.0
60-64	35.925401357398414	37.0	37.0	37.0	37.0	37.0
65-69	35.89477360240939	37.0	37.0	37.0	37.0	37.0
70-74	35.850244715300164	37.0	37.0	37.0	37.0	37.0
75-79	35.768357224066314	37.0	37.0	37.0	37.0	37.0
80-84	35.74543723923267	37.0	37.0	37.0	37.0	37.0
85-89	35.69654533526161	37.0	37.0	37.0	37.0	37.0
90-94	35.6312776270306	37.0	37.0	37.0	37.0	37.0
95-99	35.55860206782638	37.0	37.0	37.0	37.0	37.0
100-104	35.52430326289398	37.0	37.0	37.0	37.0	37.0
105-109	35.48274434369658	37.0	37.0	37.0	37.0	37.0
110-114	35.35500684087636	37.0	37.0	37.0	37.0	37.0
115-119	35.275227330473754	37.0	37.0	37.0	37.0	37.0
120-124	35.25454926494748	37.0	37.0	37.0	34.6	37.0
125-129	35.127175263059826	37.0	37.0	37.0	25.0	37.0
130-134	35.014514373956864	37.0	37.0	37.0	25.0	37.0
135-139	34.88962189624444	37.0	37.0	37.0	25.0	37.0
140-144	34.7516939577997	37.0	37.0	37.0	25.0	37.0
145-149	34.72897488722994	37.0	37.0	37.0	25.0	37.0
150	34.73364186227679	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.027791144783840593
1101	2	-0.01793284534993944
1101	3	-0.006371172273283321
1101	4	-0.1387948882042096
1101	5	-0.00868429155217143
1101	6	-0.025399967546931634
1101	7	-0.08275405854074336
1101	8	-0.047426456683687945
1101	9	-0.054917643893169554
1101	10-14	-0.03113389881234241
1101	15-19	-0.0521981464290846
1101	20-24	-0.07299348017929219
1101	25-29	-0.0393866432804586
1101	30-34	-0.04657254181873327
1101	35-39	-0.06846199464246894
1101	40-44	-0.06551693523116597
1101	45-49	-0.03901104946211831
1101	50-54	-0.05450611193143118
1101	55-59	-0.04819282443319395
1101	60-64	-0.08567303597533993
1101	65-69	-0.10797189030856202
1101	70-74	-0.06001454000814732
1101	75-79	-0.05940301867855169
1101	80-84	-0.03486433378835585
1101	85-89	-0.09853388341062441
1101	90-94	-0.07477279063235898
1101	95-99	-0.021637731489114742
1101	100-104	-0.02916751911697446
1101	105-109	-0.09478193252296307
1101	110-114	-0.05924723213627914
1101	115-119	-0.002434892838181213
1101	120-124	-0.04704429042617164
1101	125-129	0.028975170280325813
1101	130-134	-0.09429318760277283
1101	135-139	-0.09198674327544865
1101	140-144	-0.15016247334567367
1101	145-149	-0.03325251198904766
1101	150	-0.008218327738376274
1102	1	0.004073921333258568
1102	2	0.0976000050792507
1102	3	-0.011008143491636702
1102	4	-0.03643322691979023
1102	5	-0.014297664348184469
1102	6	-0.04757752497004475
1102	7	-0.0782161987701997
1102	8	-0.031301251505603034
1102	9	-0.07623463039154643
1102	10-14	-0.007620864787547532
1102	15-19	-0.004890125704768877
1102	20-24	0.014270551647662444
1102	25-29	0.019880932482955416
1102	30-34	0.03580450648453137
1102	35-39	0.035443932676876955
1102	40-44	0.01336438141827756
1102	45-49	-0.013173564415772887
1102	50-54	-0.011363591310562526
1102	55-59	-0.027016229488005195
1102	60-64	-0.01492484135835781
1102	65-69	-0.04905510755290976
1102	70-74	0.06505512432497795
1102	75-79	0.05207938233895959
1102	80-84	-0.041672411970260725
1102	85-89	0.03563057165095529
1102	90-94	0.045661863338047226
1102	95-99	0.01130278540910723
1102	100-104	0.04654329126089607
1102	105-109	0.08833980991734336
1102	110-114	0.08916656119879462
1102	115-119	0.10015227146595862
1102	120-124	0.03607566802809714
1102	125-129	0.12799813840178587
1102	130-134	0.04841426871024623
1102	135-139	0.07125627045802219
1102	140-144	-0.0455729608772657
1102	145-149	0.14371145627017512
1102	150	0.01765866150249451
1103	1	0.03092579426747477
1103	2	-0.007947161434017858
1103	3	-0.02565523136203751
1103	4	0.10025717344683471
1103	5	0.06841075510226347
1103	6	-0.010235189214981233
1103	7	-0.015607522985156663
1103	8	0.024085832050431577
1103	9	-0.0022870157289318627
1103	10-14	-0.018960992971280177
1103	15-19	-0.017969895833793714
1103	20-24	0.017087986656967757
1103	25-29	0.021853866221938745
